name,predictor,PredictorName,resolution,units,INHABITunit,description,source
Mean Temperature Of Warmest Quarter (Bio10) (degree C),mean temperature of warmest quarter (BIO10),Mean Temperature Of Warmest Quarter (Bio10),800m,degree C,degree C,"Mean temperature of warmest quarter approximates mean temperatures that prevail during the warmest season. It is calculated by identifying the warmest quarter of the year (the average temperatures of each month in the quarter are summed). The maximum and minimum temperatures are averaged for each of the 3 selected months, and the monthly averages are averaged.","<a href=""http://www.worldclim.org/bioclim"" target=""_blank"">Bioclim</a>"
Mean Temperature Of Coldest Quarter (Bio11) (degree C),mean temperature of coldest quarter (BIO11),Mean Temperature Of Coldest Quarter (Bio11),800m,degree C,degree C,"Mean temperature of coldest quarter approximates mean temperatures that prevail during the coldest season. It is calculated by identifying the coldest quarter of the year (the average temperatures of each month in the quarter are summed). The maximum and minimum temperatures are averaged for each of the 3 selected months, and the monthly averages are averaged.","<a href=""http://www.worldclim.org/bioclim"" target=""_blank"">Bioclim</a>"
Annual Precipitation (Bio12) (mm),annual precip (BIO12),Annual Precipitation (Bio12),800m,mm,mm,"Annual precipitation is the sum of all total monthly precipitation estimates. This approximates the total water inputs which can inform the importance of water availability to species distributions,","<a href=""http://www.worldclim.org/bioclim"" target=""_blank"">Bioclim</a>"
Precipitation Of Wettest Month (Bio13) (mm),precipitation of wettest month (BIO13),Precipitation Of Wettest Month (Bio13),800m,mm,mm,"Precipitation of wettest month is the total precipitation that prevails during the wettest month. Extreme precipitation conditions during the year influences a species' potential range. If is derived from climate normals, then the wettest month is based on a span of years.","<a href=""http://www.worldclim.org/bioclim"" target=""_blank"">Bioclim</a>"
Precipitation Of Driest Month (Bio14) (mm),precipitation of driest month (BIO14),Precipitation Of Driest Month (Bio14),800m,mm,mm,"Precipitation of driest month is the total precipitation that prevails during the driest month. Extreme precipitation conditions during the year influences a species' potential range. If is derived from climate normals, then the driest month is based on a span of years.","<a href=""http://www.worldclim.org/bioclim"" target=""_blank"">Bioclim</a>"
Precipitation Seasonality (Cv) (Bio15) (percent),precipitation seasonality (CV) (BIO15),Precipitation Seasonality (Cv) (Bio15),800m,percent,percent,Precipitation seasonality is a measure of the variation in monthly precipitation totals over the course of the year. This index is the ratio of the standard deviation of the monthly total precipitation to the mean monthly total precipitation (aka coefficient of variation) and is expressed as a percentage,"<a href=""http://www.worldclim.org/bioclim"" target=""_blank"">Bioclim</a>"
Precipitation Of Wettest Quarter (Bio16) (mm),precipitation of wettest quarter (BIO16),Precipitation Of Wettest Quarter (Bio16),800m,mm,mm,"Precipitation of wettest quarter approximates total precipitation that prevails during the wettest season. The three consecutive months with the highest cumulative precipitation total are identified, and then the precipitation values are summed for all three months. ","<a href=""http://www.worldclim.org/bioclim"" target=""_blank"">Bioclim</a>"
Precipitation Of Driest Quarter (Bio17) (mm),precipitation of driest quarter (BIO17),Precipitation Of Driest Quarter (Bio17),800m,mm,mm,"Precipitation of driest quarter approximates total precipitation that prevails during the driest season. The three consecutive months with the lowest cumulative precipitation total are identified, and then the precipitation values are summed for all three months. ","<a href=""http://www.worldclim.org/bioclim"" target=""_blank"">Bioclim</a>"
Precipitation Of Warmest Quarter (Bio18) (mm),precipitation of warmest quarter (BIO18),Precipitation Of Warmest Quarter (Bio18),800m,mm,mm,"Precipitation of warmest quarter approximates total precipitation that prevails during the warmest season.  It is calculated by identifying the warmest quarter of the year (the average temperatures of each month in the quarter are summed; the quarter with the highest value is selected), and the precipitation values for the three months in this quarter are then summed.","<a href=""http://www.worldclim.org/bioclim"" target=""_blank"">Bioclim</a>"
Precipitation Of Coldest Quarter (mm),precipitation of coldest quarter,Precipitation Of Coldest Quarter,800m,mm,mm,"Precipitation of coldest quarter approximates total precipitation that prevails during the coldest season.  It is calculated by identifying the coldest quarter of the year (the average temperatures of each month in the quarter are summed; the quarter with the lowest value is selected), and the precipitation values for the three months in this quarter are then summed.","<a href=""http://www.worldclim.org/bioclim"" target=""_blank"">Bioclim</a>"
Minimum Temperature Winter (degree C),minimum temperature winter,Minimum Temperature Winter,4000m,degree C,degree C,Minimum temperature of winter months (December through February) is the monthly mean minimum temperature over the given time period.,"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Mean Temperature Spring (degree C),mean temperature spring,Mean Temperature Spring,4000m,degree C,degree C,Mean temperature of spring months (March through June),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Maxiumum Mean Temperature Summer (degree C),maxiumum mean temperature summer,Maxiumum Mean Temperature Summer,4000m,degree C,degree C,Maximum temperature of summer months (June through August),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Maximum Temperature Summer (degree C),maximum temperature summer,Maximum Temperature Summer,4000m,degree C,degree C,Mean maximum temperature of summer months (June through August),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Mean Fall PET (mm),mean PET fall,Mean Fall PET,4000m,mm,mm,Potential water deficit of fall months (October through November) calculated by averaging potential evapotranspiration subtracted from precipitation over a given time period.,"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Mean Spring PET (Mar-Jun) (mm),mean PET spring (Mar-Jun),Mean Spring PET (Mar-Jun),4000m,mm,mm,Potential water deficit of spring months (March through June) calculated by averaging potential evapotranspiration subtracted from precipitation over a given time period.,"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Mean Summer PET (mm),mean PET summer,Mean Summer PET,4000m,mm,mm,Potential water deficit of summer months calculated by averaging potential evapotranspiration subtracted from precipitation over a given time period.,"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Mean Spring PET (Mar-May) (mm),mean PET spring: Mar-May,Mean Spring PET (Mar-May),4000m,mm,mm,Potential water deficit of early spring months calculated by averaging potential evapotranspiration subtracted from precipitation over a given time period.,"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Mean PET (Oct-Jun) (mm),mean PET: Oct-Jun,Mean PET (Oct-Jun),4000m,mm,mm,Potential water deficit of fall to spring months calculated by averaging potential evapotranspiration subtracted from precipitation over a given time period.,"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Mean Spring Precipitation (Mar-May) (mm),mean precipitation spring: Mar-May,Mean Spring Precipitation (Mar-May),4000m,mm,mm,Mean precipitation of earlyspring (March-May),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Mean Spring Precipitation (Mar-June) (mm),mean precipitation spring: Mar-June,Mean Spring Precipitation (Mar-June),4000m,mm,mm,Mean precipitation of spring months (March through June),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Mean March Precipitation (mm),mean precipitation March,Mean March Precipitation,4000m,mm,mm,Mean precipitation of March,"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Mean March Precipitation/Mean Spring Precipitation (fraction/mm),mean precipitation March/mean precipitation spring,Mean March Precipitation/Mean Spring Precipitation,4000m,fraction/mm,fraction/mm,Mean precipitation of March divided by Mean precipitation of spring months (March through June),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Mean Growing Season Precipitation (Apr-Oct) (mm),mean precipitation growing season (Apr-Oct),Mean Growing Season Precipitation (Apr-Oct),4000m,mm,mm,Mean precipitation of the growing season (April through October),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Mean Annual Precipitation (mm),mean annual precipitation,Mean Annual Precipitation,4000m,mm,mm,Mean annual precipitation,"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Evapotranspiration (Oct-Nov) (mm),evapotranspiration Oct-Nov,Evapotranspiration (Oct-Nov),1000m,mm,mm,Mean monthly evapotranspiration of fall months (October through November),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Evapotranspiration (Mar-Jun) (mm),evapotranspiration Mar-Jun,Evapotranspiration (Mar-Jun),1000m,mm,mm,Mean monthly evapotranspiration of spring months (March through June),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Evapotranspiration (Apr-Oct) (mm),evapotranspiration Apr-Oct,Evapotranspiration (Apr-Oct),1000m,mm,mm,Mean monthly evapotranspiration of the growing season (April through October),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Evapotranspiration (Oct-Jun) (mm),evapotranspiration Oct-Jun,Evapotranspiration (Oct-Jun),1000m,mm,mm,Mean monthly evapotranspiration of fall to spring (October through June),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Evapotranspiration (Mar-May) (mm),evapotranspiration Mar-May,Evapotranspiration (Mar-May),1000m,mm,mm,Mean monthly evapotranspiration of spring months (March through May),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Evapotranspiration (Jun-Aug) (mm),evapotranspiration Jun-Aug,Evapotranspiration (Jun-Aug),1000m,mm,mm,Mean monthly evapotranspiration of summer months (June through August),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Burning Index (index of 0-100),burning index,Burning Index,4000m,index of 0-100,index of 0-100,Burning index (based off of the National Fire Danger Rating System),"<a href=""https://doi.org/10.1002/joc.3413"" target=""_blank"">Climate Engine<a/>"
Landscape Condition Model (index of  0-1),landscape condition model,Landscape Condition Model,90m,index of  0-1,index of  0-1,"The landscape condition model identifies human land uses (built infrastructure, agriculture, vegetation alteration, etc.)","<a href=""https://www.natureserve.org/conservation-tools/modeling-landscape-condition"" target=""_blank"">NatureServe</a>"
Human Influence Index (index of 0-64),human influence index,Human Influence Index,1000m,index of 0-64,index of 0-64,"Human influence index identifies anthropogenic impacts on the environment. It incorporates nine global data layers covering human population pressure (population density), human land use and infrastructure (built-up areas, nighttime lights, land use/land cover), and human access (coastlines,  roads, railroads, navigable rivers).","<a href=""https://sedac.ciesin.columbia.edu/data/set/wildareas-v2-human-influence-index-geographic"" target=""_blank"">NASA SEDAC</a>"
Western Human Footprint (index of 1 to 10),western human footprint,Western Human Footprint,180m,index of 1 to 10,index of 1 to 10,"The human footprint in the west identifies anthropogenic changes to the landscape and the cumulative impacts of human presence and actions. It incorporates 14 landscape structure and anthropogenic features: human habitation, interstate highways, federal and state highways, secondary roads, railroads, irrigation canals, power lines, linear feature densities, agricultural land, campgrounds, highway rest stops, land fills, oil and gas development, and human induced fires.","<a href=""https://www.sciencebase.gov/catalog/item/542f05abe4b092f17df5eddb"" target=""_blank"">USGS</a>"
Percent Clay (0-5 cm) (percent),percent clay (0-5cm),Percent Clay (0-5 cm),100m,percent,percent,Mean percent clay cover in the first 0-5cm of the soil horizon,"<a href=""https://doi.org/10.1016/j.geoderma.2016.03.025"" target=""_blank"">POLARIS</a>"
Percent Sand (0-5 cm) (percent),percent sand (0-5cm),Percent Sand (0-5 cm),100m,percent,percent,Mean percent sand cover in the first 0-5cm of the soil horizon,"<a href=""https://doi.org/10.1016/j.geoderma.2016.03.025"" target=""_blank"">POLARIS</a>"
Percent Calcium Carbonate In Soil (percent),percent calcium carbonate in soil,Percent Calcium Carbonate In Soil,100m,percent,percent,Mean percent calcium carbonate in the first 0-5cm of the soil horizon,"<a href=""https://doi.org/10.1016/j.geoderma.2016.03.025"" target=""_blank"">POLARIS</a>"
Pore Size Distribution Index (none),pore size distribution index,Pore Size Distribution Index,100m,none,none,Mean pore size distribution index in the first 0-5cm of the soil horizon,"<a href=""https://doi.org/10.1016/j.geoderma.2016.03.025"" target=""_blank"">POLARIS</a>"
"Available Water Content (Variance in Depth, cm) (m3/m2)","available water content (depth, cm)","Available Water Content (Variance in Depth, cm)",100m,m3/m2,m3/m2,Variance of available water content in the first 0-5cm of the soil horizon,"<a href=""https://doi.org/10.1016/j.geoderma.2016.03.025"" target=""_blank"">POLARIS</a>"
"Available Water Content (Mean Depth, cm) (m3/m3)","available water content (depth, cm)","Available Water Content (Mean Depth, cm)",100m,m3/m3,m3/m3,Mean available water content in the first 0-5cm of the soil horizon,"<a href=""https://doi.org/10.1016/j.geoderma.2016.03.025"" target=""_blank"">POLARIS</a>"
Soil Water Content At Field Capacity (0-5 cm) (m3/m3),soil water content at field capacity (0-5 cm),Soil Water Content At Field Capacity (0-5 cm),100m,m3/m3,m3/m3,Mean soil water content at field capacity in the first 0-5cm of the soil horizon,"<a href=""https://doi.org/10.1016/j.geoderma.2016.03.025"" target=""_blank"">POLARIS</a>"
Depth To Restriction Layer (Mean) (cm),depth to restriction layer (mean),Depth To Restriction Layer (Mean),100m,cm,cm,Mean depth to restriction layer,"<a href=""https://doi.org/10.1016/j.geoderma.2016.03.025"" target=""_blank"">POLARIS</a>"
Remoteness (Night Lights) (brightness?),remoteness (night lights),Remoteness (Night Lights),250m,brightness?,brightness?,Nighttime lights of 2011. Cloud-free composites use visible and infrared sensors to capture imagery.,"<a href=""https://ngdc.noaa.gov/eog/dmsp/downloadV4composites.html"" target=""_blank"">NOAA</a>"
Elevation (m),elevation,Elevation,30m,m,m,Elevation,"< a href=""https://www.usgs.gov/core-science-systems/national-geospatial-program/national-map"" target=""_blank"">USGS National Geospatial Program</a>"
Slope (degrees),slope,Slope,30m,degrees,degrees,Slope is derived from Elevation. It is the gradient or the rate of maximum change in z-value from each cell of the raster surface,"< a href=""https://www.usgs.gov/core-science-systems/national-geospatial-program/national-map"" target=""_blank"">USGS National Geospatial Program</a>"
Aspect: Northness (index of -1 to 1),aspect: northness,Aspect: Northness,30m,index of -1 to 1,index of -1 to 1,Aspect: northness is derived from elevation. It identifies slope direction.,"< a href=""https://www.usgs.gov/core-science-systems/national-geospatial-program/national-map"" target=""_blank"">USGS National Geospatial Program</a>"
Land Surface Temperature (MODIS) (0-254),land surface temperature (MODIS),Land Surface Temperature (MODIS),1000m,0-254,0-254,Land surface temperature/emissivity,"<a href=""https://modis-land.gsfc.nasa.gov/temp.html"" target=""_blank"">NASA</a>"
Land Surface Temperature (MODIS) (0-254),land surface temperature (MODIS),Land Surface Temperature (MODIS),1000m,0-254,0-254,Land surface temperature/emissivity,"<a href=""https://modis-land.gsfc.nasa.gov/temp.html"" target=""_blank"">NASA</a>"
Maximum Burn Severity (index of 0 to 6),maximum burn severity,Maximum Burn Severity,30m,index of 0 to 6,index of 0 to 6,Maximum burn severity,"<a href=""https://www.mtbs.gov/product-descriptions"" target=""_blank"">MTBS<a/>"
Burn Frequency (years),burn frequency,Burn Frequency,30m,years,years,Burn frequency,"<a href=""https://www.mtbs.gov/product-descriptions"" target=""_blank"">MTBS<a/>"
Year Of Last Fire (Date),year of last fire,Year Of Last Fire,30m,Date,Date,Year of the last fire where 1 is 1984 and 32 is 2015,"<a href=""https://www.mtbs.gov/product-descriptions"" target=""_blank"">MTBS<a/>"
Severity Of Last Fire (index of 0 to 6),severity of last fire,Severity Of Last Fire,30m,index of 0 to 6,index of 0 to 6,Burn severity of last fire,"<a href=""https://www.mtbs.gov/product-descriptions"" target=""_blank"">MTBS<a/>"
Bare Ground Standard Deviation (st dev of percent cover),bare ground standard deviation,Bare Ground Standard Deviation,250m,st dev of percent cover,st dev of percent cover,Standard deviation of percent cover of bare ground over the given time period,"<a href=""https://lpdaac.usgs.gov/product_search/"" target=""_blank"">NASA LPDAAC</a>"
Mean Tree Cover (percent),mean tree cover,Mean Tree Cover,250m,percent,percent,Mean tree cover over the given time period,"<a href=""https://lpdaac.usgs.gov/product_search/"" target=""_blank"">NASA LPDAAC</a>"
